;Curso;Empresa;Data Início;Data Término;Ano Início;Ano Término;Período;Latitude;Longitude;Cidade;Localização;;
231;Engenharia Química;AMBEV S.A.;01/07/2019 00:00;28/10/2019 00:00;2019;2019;0;-2.358.470.117;-466.677.518;São Paulo;3;;
232;Engenharia Química;AMBEV S.A.;02/08/2022 00:00;20/12/2022 00:00;2022;2022;0;-2.358.470.117;-466.677.518;São Paulo;3;;
233;Engenharia Química;AMBEV S.A.;01/05/2021 00:00;01/05/2021 00:00;2021;2021;0;-2.358.470.117;-466.677.518;São Paulo;3;;
234;Engenharia Química;AMBEV S.A.;01/05/2022 00:00;28/04/2022 00:00;2022;2022;0;-2.358.470.117;-466.677.518;São Paulo;3;;
235;Engenharia Química;AMBEV S.A.;13/08/2019 00:00;27/07/2020 00:00;2019;2020;1;-2.358.470.117;-466.677.518;São Paulo;3;;
236;Engenharia Física;AMBEV S.A.;16/08/2022 00:00;16/08/2023 00:00;2022;2023;1;-2.358.470.117;-466.677.518;São Paulo;3;;
237;Engenharia de Produção;AMBEV S.A.;01/05/2021 00:00;31/03/2022 00:00;2021;2022;1;-2.358.470.117;-466.677.518;São Paulo;3;;
238;Engenharia de Produção;AMBEV S.A.;01/08/2018 00:00;31/10/2018 00:00;2018;2018;0;-2.358.470.117;-466.677.518;São Paulo;3;;
239;Engenharia de Produção;AMBEV S.A.;13/08/2019 00:00;03/02/2020 00:00;2019;2020;1;-2.358.470.117;-466.677.518;São Paulo;3;;
246;Engenharia Química;AMSTED MAXION FUNDIÇÃO E EQUIPAMENTOS FERROVIÁRIOS S.A;07/02/2019 00:00;18/07/2019 00:00;2019;2019;0;-2.258.657.437;-4.495.755.085;Cruzeiro;1;;
247;Engenharia de Materiais;AMSTED MAXION FUNDIÇÃO E EQUIPAMENTOS FERROVIÁRIOS S.A;07/05/2022 00:00;07/04/2023 00:00;2022;2023;1;-2.258.657.437;-4.495.755.085;Cruzeiro;1;;
403;Engenharia Química;ITAÚ UNIBANCO S/A;11/01/2018 00:00;30/04/2019 00:00;2018;2019;1;-2.323.007.733;-4.591.998.217;São Paulo;3;;
